metrics,dataset,language,spearman,spearman_pval,kendall,kendall_pval
omission,handbook,vietnamese,-0.0578,0.5052,-0.0486,0.5032
omission,handbook,chinese,0.2336,0.0064,0.1960,0.0068
omission,handbook,english,0.0212,0.8073,0.0183,0.8062
addition,handbook,vietnamese,0.1171,0.1761,0.0983,0.1751
addition,handbook,chinese,0.3491,0.0000,0.2928,0.0001
addition,handbook,english,nan,nan,nan,nan
word_meaning,handbook,vietnamese,0.2655,0.0019,0.2136,0.0012
word_meaning,handbook,chinese,0.4191,0.0000,0.3272,0.0000
word_meaning,handbook,english,0.2513,0.0033,0.1985,0.0037
fluency,handbook,vietnamese,0.2034,0.0180,0.1708,0.0106
fluency,handbook,chinese,0.3785,0.0000,0.2881,0.0000
fluency,handbook,english,0.2878,0.0007,0.2281,0.0009
