metrics,dataset,language,spearman,spearman_pval,kendall,kendall_pval
omission,handbook,english,0.0746,0.3899,0.0612,0.3879
omission,handbook,chinese,0.2447,0.0042,0.2006,0.0046
omission,handbook,vietnamese,-0.0257,0.7674,-0.0211,0.7661
addition,handbook,english,nan,nan,nan,nan
addition,handbook,chinese,0.3435,0.0000,0.2815,0.0001
addition,handbook,vietnamese,0.1357,0.1166,0.1112,0.1162
word_meaning,handbook,english,0.2531,0.0031,0.1938,0.0029
word_meaning,handbook,chinese,0.3353,0.0001,0.2530,0.0001
word_meaning,handbook,vietnamese,0.2373,0.0056,0.1768,0.0059
fluency,handbook,english,0.2079,0.0155,0.1600,0.0143
fluency,handbook,chinese,0.2749,0.0013,0.2076,0.0014
fluency,handbook,vietnamese,0.2591,0.0024,0.2070,0.0015
