metrics,dataset,language,spearman,spearman_pval,kendall,kendall_pval
omission,handbook,vietnamese,0.1654,0.0265,0.1367,0.0269
omission,handbook,chinese,-0.1238,0.0979,-0.1030,0.0977
omission,handbook,english,0.0098,0.8957,0.0083,0.8952
omission,question,vietnamese,0.1582,0.1753,0.1355,0.1736
omission,question,chinese,-0.0742,0.5269,-0.0625,0.5232
omission,question,english,0.0228,0.8462,0.0207,0.8446
addition,handbook,vietnamese,0.1677,0.0244,0.1386,0.0249
addition,handbook,chinese,0.0139,0.8527,0.0116,0.8521
addition,handbook,english,0.1567,0.0357,0.1326,0.0360
addition,question,vietnamese,0.0963,0.4110,0.0825,0.4073
addition,question,chinese,-0.1346,0.2498,-0.1133,0.2471
addition,question,english,-0.0567,0.6290,-0.0515,0.6258
word_meaning,handbook,vietnamese,0.3182,0.0000,0.2373,0.0000
word_meaning,handbook,chinese,0.2836,0.0001,0.2150,0.0001
word_meaning,handbook,english,-0.0886,0.2371,-0.0671,0.2483
word_meaning,question,vietnamese,0.3341,0.0034,0.2598,0.0042
word_meaning,question,chinese,0.1965,0.0911,0.1646,0.0676
word_meaning,question,english,0.0140,0.9049,0.0150,0.8798
fluency,handbook,vietnamese,0.3001,0.0000,0.2303,0.0001
fluency,handbook,chinese,0.1917,0.0100,0.1485,0.0100
fluency,handbook,english,-0.0034,0.9641,0.0026,0.9648
fluency,question,vietnamese,0.3587,0.0016,0.2840,0.0020
fluency,question,chinese,0.1430,0.2210,0.1143,0.2169
fluency,question,english,0.1117,0.3399,0.0955,0.3409
question,question,vietnamese,0.6094,0.0000,0.5043,0.0000
question,question,chinese,0.2617,0.0233,0.2210,0.0173
question,question,english,0.0585,0.6181,0.0501,0.6232
