metrics,dataset,language,pearson,pearson_pval,spearman,spearman_pval,kendall,kendall_pval,cramers,cramers_pval,polycorr
omission,handbook,vietnamese,0.2043,0.0059,0.2043,0.0059,0.2043,0.0063,0.2043,0.0061,0.4414
omission,handbook,chinese,0.0461,0.5387,0.0461,0.5387,0.0461,0.5372,0.0461,0.5360,0.1474
omission,handbook,english,-0.0488,0.5155,-0.0488,0.5155,-0.0488,0.5139,0.0488,0.5128,-0.9061
omission,question,vietnamese,nan,nan,nan,nan,nan,nan,nan,nan,1.0000
omission,question,chinese,nan,nan,nan,nan,nan,nan,nan,nan,1.0000
omission,question,english,-0.0135,0.9084,-0.0135,0.9084,-0.0135,0.9075,0.0135,0.9068,-0.8394
addition,handbook,vietnamese,0.2744,0.0002,0.2744,0.0002,0.2744,0.0002,0.2744,0.0002,0.4805
addition,handbook,chinese,0.1922,0.0098,0.1922,0.0098,0.1922,0.0101,0.1922,0.0099,0.3357
addition,handbook,english,0.2998,0.0000,0.2998,0.0000,0.2998,0.0001,0.2998,0.0001,0.9892
addition,question,vietnamese,0.2804,0.0148,0.2804,0.0148,0.2804,0.0159,0.2804,0.0152,0.9872
addition,question,chinese,nan,nan,nan,nan,nan,nan,nan,nan,1.0000
addition,question,english,-0.0393,0.7379,-0.0393,0.7379,-0.0393,0.7354,0.0393,0.7337,-0.8956
word_meaning,handbook,vietnamese,0.5143,0.0000,0.4931,0.0000,0.4229,0.0000,0.3171,0.0000,0.5912
word_meaning,handbook,chinese,0.3751,0.0000,0.3478,0.0000,0.3001,0.0000,0.2318,0.0012,0.4567
word_meaning,handbook,english,0.2608,0.0004,0.2216,0.0028,0.1952,0.0025,0.2356,0.0008,0.2722
word_meaning,question,vietnamese,0.5042,0.0000,0.3275,0.0041,0.2829,0.0048,0.3560,0.0015,0.4858
word_meaning,question,chinese,0.3701,0.0011,0.2394,0.0386,0.2111,0.0403,0.3649,0.0028,0.4043
word_meaning,question,english,0.1043,0.3733,0.1561,0.1811,0.1388,0.1877,0.2171,0.5629,0.2020
fluency,handbook,vietnamese,0.1955,0.0085,0.2397,0.0012,0.2163,0.0011,0.2117,0.0092,0.2807
fluency,handbook,chinese,0.3014,0.0000,0.2679,0.0003,0.2439,0.0003,0.2292,0.0049,0.3563
fluency,handbook,english,0.2214,0.0028,0.1563,0.0362,0.1419,0.0346,0.2601,0.0000,0.2457
fluency,question,vietnamese,0.3744,0.0009,0.3517,0.0020,0.3192,0.0023,0.3900,0.0036,0.5015
fluency,question,chinese,0.3857,0.0006,0.3219,0.0049,0.2981,0.0061,0.4446,0.0002,0.5341
fluency,question,english,0.1763,0.1302,0.2153,0.0636,0.2035,0.0628,0.2103,0.5768,0.3739
question,question,vietnamese,0.2923,0.0109,0.2842,0.0135,0.2675,0.0139,0.2248,0.1084,0.5431
question,question,chinese,0.3419,0.0027,0.3369,0.0031,0.3192,0.0036,0.2608,0.0372,0.6542
question,question,english,0.3095,0.0069,0.2825,0.0141,0.2739,0.0142,0.3119,0.0056,0.5244
